date,time,year,month,day,week,day_of_week,coordinates
2011-08-29,6:56:58 PM,2011,8,29,35,0,"(42.391623, -88.089163)"
2011-08-29,6:57:08 PM,2011,8,29,35,0,"(42.391348, -88.089163)"
2011-08-29,6:57:18 PM,2011,8,29,35,0,"(42.391022, -88.089157)"
2011-08-29,6:57:28 PM,2011,8,29,35,0,"(42.390637, -88.089158)"
2011-08-29,6:57:38 PM,2011,8,29,35,0,"(42.39041, -88.088858)"
2011-08-29,6:57:48 PM,2011,8,29,35,0,"(42.390395, -88.088315)"
2011-08-29,6:57:58 PM,2011,8,29,35,0,"(42.390673, -88.088002)"
2011-08-29,6:58:08 PM,2011,8,29,35,0,"(42.391027, -88.088002)"
2011-08-29,6:58:18 PM,2011,8,29,35,0,"(42.391403, -88.088003)"
2011-08-29,6:58:28 PM,2011,8,29,35,0,"(42.391718, -88.087995)"
2011-08-29,6:58:38 PM,2011,8,29,35,0,"(42.392038, -88.087988)"
2011-08-29,6:58:48 PM,2011,8,29,35,0,"(42.39241, -88.088078)"
2011-08-29,6:58:58 PM,2011,8,29,35,0,"(42.3928, -88.088332)"
2011-08-29,6:59:08 PM,2011,8,29,35,0,"(42.393257, -88.08837)"
2011-08-29,6:59:18 PM,2011,8,29,35,0,"(42.3936, -88.088232)"
2011-08-29,7:00:08 PM,2011,8,29,35,0,"(42.393203, -88.088417)"
2011-08-29,7:00:18 PM,2011,8,29,35,0,"(42.392792, -88.088312)"
2011-08-29,7:00:28 PM,2011,8,29,35,0,"(42.392477, -88.08821)"
2011-08-29,7:00:38 PM,2011,8,29,35,0,"(42.392385, -88.088697)"
2011-08-29,7:00:48 PM,2011,8,29,35,0,"(42.392098, -88.089113)"
2011-08-29,7:00:58 PM,2011,8,29,35,0,"(42.39218, -88.089498)"
2011-08-29,7:01:08 PM,2011,8,29,35,0,"(42.392428, -88.08979)"
2011-08-29,7:01:18 PM,2011,8,29,35,0,"(42.392722, -88.090042)"
2011-08-29,7:01:28 PM,2011,8,29,35,0,"(42.392958, -88.0903)"
2011-08-29,7:01:38 PM,2011,8,29,35,0,"(42.39299, -88.090895)"
2011-08-29,7:01:48 PM,2011,8,29,35,0,"(42.393002, -88.091612)"
2011-08-29,7:01:58 PM,2011,8,29,35,0,"(42.393008, -88.09201)"
2011-08-29,7:02:08 PM,2011,8,29,35,0,"(42.39302, -88.092548)"
2011-08-29,7:02:18 PM,2011,8,29,35,0,"(42.393103, -88.093182)"
2011-08-29,7:02:28 PM,2011,8,29,35,0,"(42.393118, -88.093737)"
2011-08-29,7:02:38 PM,2011,8,29,35,0,"(42.393423, -88.093895)"
2011-08-29,7:02:48 PM,2011,8,29,35,0,"(42.393743, -88.094075)"
2011-08-29,7:02:58 PM,2011,8,29,35,0,"(42.394105, -88.09425)"
2011-08-29,7:03:08 PM,2011,8,29,35,0,"(42.394478, -88.094223)"
2011-08-29,7:03:18 PM,2011,8,29,35,0,"(42.39486, -88.094198)"
2011-08-29,7:03:28 PM,2011,8,29,35,0,"(42.395085, -88.094515)"
2011-08-29,7:03:38 PM,2011,8,29,35,0,"(42.395095, -88.095027)"
2011-08-29,7:03:48 PM,2011,8,29,35,0,"(42.395078, -88.09552)"
2011-08-29,7:03:58 PM,2011,8,29,35,0,"(42.395352, -88.095772)"
2011-08-29,7:04:08 PM,2011,8,29,35,0,"(42.395697, -88.095833)"
2011-08-29,7:04:18 PM,2011,8,29,35,0,"(42.395983, -88.095757)"
